Mini_Subject_Name,Mini_Subject_ID
Database Design & Development,1
Mobile Development,2
Programming Languages,3
Software Engineering,4
Web Development,5
Software Testing,6
Data Science,7
Software Development Tools,8
No-Code Development,9
Game Development,10
